Time,1.Temperature(C),1.Wind(m/s),2.Temperature(C),2.Wind(m/s),3.Temperature(C),3.Wind(m/s),4.Temperature(C),4.Wind(m/s),5.Temperature(C),5.Wind(m/s),6.Temperature(C),6.Wind(m/s),7.Temperature(C),7.Wind(m/s),8.Temperature(C),8.Wind(m/s),8.Pressure(Pa),9.Temperature(C),9.Wind(m/s),9.Pressure(Pa)
1756172545000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172565000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172575000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172595000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172605000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172615000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172636000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172641000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172651000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172656000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172661000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172666000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172671000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172676000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172681000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172686000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172691000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172697000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172702000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172707000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172712000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172717000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172722000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172727000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172732000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172737000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172742000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172747000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172752000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172758000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172762000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172767000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172772000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172778000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172783000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172788000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172793000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172798000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172803000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172808000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172813000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172819000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172823000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172833000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172838000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172843000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172848000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172854000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172859000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172864000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172869000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172874000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172879000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172884000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172889000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172894000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172899000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172904000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172909000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172914000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172919000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172924000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172929000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172934000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172945000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172955000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172965000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172975000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172985000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756172995000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173025000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173036000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173041000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173046000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173051000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173056000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173061000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173065000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173071000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173076000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173081000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173086000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173091000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173106000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173137000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173142000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173152000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173157000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173162000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173167000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173172000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173188000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173192000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173197000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173202000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173207000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173212000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173217000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173223000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173233000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173248000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173253000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173258000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173263000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173268000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173273000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173283000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173288000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173293000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173303000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173308000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
