1,1759307814,nan,40.16,38.05,0.00,nan,nan,nan,nan
2,1759307814,nan,40.57,35.14,1.10,nan,nan,nan,nan
3,1759307814,nan,33.83,47.13,0.20,nan,nan,nan,nan
4,1759307814,nan,0,0,0,nan,nan,nan,nan
5,1759307814,nan,0,0,0,nan,nan,nan,nan
6,1759307814,nan,0,0,0,nan,nan,nan,nan
7,1759307814,nan,0,0,0,nan,nan,nan,nan
8,1759307814,nan,0,0,0,0,nan,nan
9,1759307814,nan,0,0,0,0,nan,nan
1,1759307819,nan,40.16,38.05,0.00,nan,nan,nan,nan
2,1759307819,nan,40.59,35.12,0.20,nan,nan,nan,nan
3,1759307819,nan,33.84,46.90,0.00,nan,nan,nan,nan
4,1759307819,nan,0,0,0,nan,nan,nan,nan
5,1759307819,nan,0,0,0,nan,nan,nan,nan
6,1759307819,nan,0,0,0,nan,nan,nan,nan
7,1759307819,nan,0,0,0,nan,nan,nan,nan
8,1759307819,nan,0,0,0,0,nan,nan
9,1759307819,nan,0,0,0,0,nan,nan
1,1759307825,nan,40.17,37.96,0.00,nan,nan,nan,nan
2,1759307825,nan,40.55,34.98,1.10,nan,nan,nan,nan
3,1759307825,nan,33.84,46.60,0.20,nan,nan,nan,nan
4,1759307825,nan,0,0,0,nan,nan,nan,nan
5,1759307825,nan,0,0,0,nan,nan,nan,nan
6,1759307825,nan,0,0,0,nan,nan,nan,nan
7,1759307825,nan,0,0,0,nan,nan,nan,nan
8,1759307825,nan,0,0,0,0,nan,nan
9,1759307825,nan,0,0,0,0,nan,nan
1,1759307830,nan,40.18,38.33,0.00,nan,nan,nan,nan
2,1759307830,nan,40.55,34.98,1.10,nan,nan,nan,nan
3,1759307830,nan,33.82,46.92,0.20,nan,nan,nan,nan
4,1759307830,nan,0,0,0,nan,nan,nan,nan
5,1759307830,nan,0,0,0,nan,nan,nan,nan
6,1759307830,nan,0,0,0,nan,nan,nan,nan
7,1759307830,nan,0,0,0,nan,nan,nan,nan
8,1759307830,nan,0,0,0,0,nan,nan
9,1759307830,nan,0,0,0,0,nan,nan
1,1759307835,nan,40.17,37.95,0.00,nan,nan,nan,nan
2,1759307835,nan,40.54,35.11,1.10,nan,nan,nan,nan
3,1759307835,nan,33.80,46.69,0.20,nan,nan,nan,nan
4,1759307835,nan,0,0,0,nan,nan,nan,nan
5,1759307835,nan,0,0,0,nan,nan,nan,nan
6,1759307835,nan,0,0,0,nan,nan,nan,nan
7,1759307835,nan,0,0,0,nan,nan,nan,nan
8,1759307835,nan,0,0,0,0,nan,nan
9,1759307835,nan,0,0,0,0,nan,nan
1,1759307840,nan,40.16,37.54,0.00,nan,nan,nan,nan
2,1759307840,nan,40.55,35.08,1.10,nan,nan,nan,nan
3,1759307840,nan,33.80,46.82,1.10,nan,nan,nan,nan
4,1759307840,nan,0,0,0,nan,nan,nan,nan
5,1759307840,nan,0,0,0,nan,nan,nan,nan
6,1759307840,nan,0,0,0,nan,nan,nan,nan
7,1759307840,nan,0,0,0,nan,nan,nan,nan
8,1759307840,nan,0,0,0,0,nan,nan
9,1759307840,nan,0,0,0,0,nan,nan
1,1759307846,nan,40.18,37.54,0.00,nan,nan,nan,nan
2,1759307846,nan,40.60,35.51,1.10,nan,nan,nan,nan
3,1759307846,nan,33.83,47.26,0.20,nan,nan,nan,nan
4,1759307846,nan,0,0,0,nan,nan,nan,nan
5,1759307846,nan,0,0,0,nan,nan,nan,nan
6,1759307846,nan,0,0,0,nan,nan,nan,nan
7,1759307846,nan,0,0,0,nan,nan,nan,nan
8,1759307846,nan,0,0,0,0,nan,nan
9,1759307846,nan,0,0,0,0,nan,nan
1,1759307851,nan,40.18,37.85,0.00,nan,nan,nan,nan
2,1759307851,nan,40.67,35.65,1.10,nan,nan,nan,nan
3,1759307851,nan,33.82,47.51,0.20,nan,nan,nan,nan
4,1759307851,nan,0,0,0,nan,nan,nan,nan
5,1759307851,nan,0,0,0,nan,nan,nan,nan
6,1759307851,nan,0,0,0,nan,nan,nan,nan
7,1759307851,nan,0,0,0,nan,nan,nan,nan
8,1759307851,nan,0,0,0,0,nan,nan
9,1759307851,nan,0,0,0,0,nan,nan
1,1759307856,nan,40.18,37.69,0.00,nan,nan,nan,nan
2,1759307856,nan,40.66,35.12,1.10,nan,nan,nan,nan
3,1759307856,nan,33.81,46.97,0.20,nan,nan,nan,nan
4,1759307856,nan,0,0,0,nan,nan,nan,nan
5,1759307856,nan,0,0,0,nan,nan,nan,nan
6,1759307856,nan,0,0,0,nan,nan,nan,nan
7,1759307856,nan,0,0,0,nan,nan,nan,nan
8,1759307856,nan,0,0,0,0,nan,nan
9,1759307856,nan,0,0,0,0,nan,nan
1,1759307862,nan,40.20,38.66,0.00,nan,nan,nan,nan
2,1759307862,nan,40.66,34.95,1.10,nan,nan,nan,nan
3,1759307862,nan,33.74,47.01,0.20,nan,nan,nan,nan
4,1759307862,nan,0,0,0,nan,nan,nan,nan
5,1759307862,nan,0,0,0,nan,nan,nan,nan
6,1759307862,nan,0,0,0,nan,nan,nan,nan
7,1759307862,nan,0,0,0,nan,nan,nan,nan
8,1759307862,nan,0,0,0,0,nan,nan
9,1759307862,nan,0,0,0,0,nan,nan
1,1759307867,nan,40.20,37.85,0.00,nan,nan,nan,nan
2,1759307867,nan,40.66,35.31,1.10,nan,nan,nan,nan
3,1759307867,nan,33.80,47.67,0.20,nan,nan,nan,nan
4,1759307867,nan,0,0,0,nan,nan,nan,nan
5,1759307867,nan,0,0,0,nan,nan,nan,nan
6,1759307867,nan,0,0,0,nan,nan,nan,nan
7,1759307867,nan,0,0,0,nan,nan,nan,nan
8,1759307867,nan,0,0,0,0,nan,nan
9,1759307867,nan,0,0,0,0,nan,nan
