0,1759476083,nan,nan,nan,nan,nan,nan,nan,nan
1,1759476088,nan,34.49,39.08,0.00,nan,nan,nan,nan
2,1759476088,nan,34.53,38.67,0.00,nan,nan,nan,nan
3,1759476088,nan,39.57,28.79,0.20,nan,nan,nan,nan
4,1759476088,nan,32.82,38.01,0.00,nan,nan,nan,nan
5,1759476088,nan,31.02,43.55,0.00,nan,nan,nan,nan
6,1759476088,nan,32.56,47.36,0.00,nan,nan,nan,nan
7,1759476088,nan,30.14,46.31,1.30,nan,nan,nan,nan
8,1759476088,nan,0,0,0,0,1,2
9,1759476088,nan,0,0,0,0,1,2
10,1759476088,nan,49.72,nan,nan,nan,nan,nan
13,1759476088,nan,55.38,nan,nan,nan,nan,nan
1,1759476094,nan,34.54,38.48,0.00,nan,nan,nan,nan
2,1759476094,nan,34.60,38.75,0.00,nan,nan,nan,nan
3,1759476094,nan,39.57,28.79,0.20,nan,nan,nan,nan
4,1759476094,nan,32.87,38.15,0.00,nan,nan,nan,nan
5,1759476094,nan,31.09,43.69,0.00,nan,nan,nan,nan
6,1759476094,nan,32.65,47.37,0.00,nan,nan,nan,nan
7,1759476094,nan,30.16,46.57,1.20,nan,nan,nan,nan
8,1759476094,nan,0,0,0,0,1,2
9,1759476094,nan,0,0,0,0,1,2
10,1759476094,nan,49.72,nan,nan,nan,nan,nan
13,1759476094,nan,55.38,nan,nan,nan,nan,nan
1,1759476099,nan,34.59,38.17,0.00,nan,nan,nan,nan
2,1759476099,nan,34.64,38.37,0.00,nan,nan,nan,nan
3,1759476099,nan,39.57,28.79,0.20,nan,nan,nan,nan
4,1759476099,nan,32.93,38.77,0.00,nan,nan,nan,nan
5,1759476099,nan,31.14,43.30,0.00,nan,nan,nan,nan
6,1759476099,nan,32.70,47.36,0.00,nan,nan,nan,nan
7,1759476099,nan,30.21,46.19,1.30,nan,nan,nan,nan
8,1759476099,nan,0,0,0,0,1,2
9,1759476099,nan,0,0,0,0,1,2
10,1759476099,nan,49.72,nan,nan,nan,nan,nan
