1,1759308382,nan,40.78,37.58,0.00,nan,nan,nan,nan
2,1759308382,nan,41.11,34.31,1.10,nan,nan,nan,nan
3,1759308382,nan,33.84,46.28,0.20,nan,nan,nan,nan
4,1759308382,nan,0,0,0,nan,nan,nan,nan
5,1759308382,nan,0,0,0,nan,nan,nan,nan
6,1759308382,nan,0,0,0,nan,nan,nan,nan
7,1759308382,nan,0,0,0,nan,nan,nan,nan
8,1759308382,nan,0,0,0,0,nan,nan
9,1759308382,nan,0,0,0,0,nan,nan
1,1759308388,nan,40.79,37.82,0.00,nan,nan,nan,nan
2,1759308388,nan,41.13,34.35,1.10,nan,nan,nan,nan
3,1759308388,nan,33.85,46.50,0.20,nan,nan,nan,nan
4,1759308388,nan,0,0,0,nan,nan,nan,nan
5,1759308388,nan,0,0,0,nan,nan,nan,nan
6,1759308388,nan,0,0,0,nan,nan,nan,nan
7,1759308388,nan,0,0,0,nan,nan,nan,nan
8,1759308388,nan,0,0,0,0,nan,nan
9,1759308388,nan,0,0,0,0,nan,nan
1,1759308393,nan,40.79,37.82,0.00,nan,nan,nan,nan
2,1759308393,nan,41.13,34.08,1.10,nan,nan,nan,nan
3,1759308393,nan,33.88,46.84,0.20,nan,nan,nan,nan
4,1759308393,nan,0,0,0,nan,nan,nan,nan
5,1759308393,nan,0,0,0,nan,nan,nan,nan
6,1759308393,nan,0,0,0,nan,nan,nan,nan
7,1759308393,nan,0,0,0,nan,nan,nan,nan
8,1759308393,nan,0,0,0,0,nan,nan
9,1759308393,nan,0,0,0,0,nan,nan
1,1759308398,nan,40.80,36.71,0.00,nan,nan,nan,nan
2,1759308398,nan,41.18,34.81,1.10,nan,nan,nan,nan
3,1759308398,nan,33.84,46.43,0.20,nan,nan,nan,nan
4,1759308398,nan,0,0,0,nan,nan,nan,nan
5,1759308398,nan,0,0,0,nan,nan,nan,nan
6,1759308398,nan,0,0,0,nan,nan,nan,nan
7,1759308398,nan,0,0,0,nan,nan,nan,nan
8,1759308398,nan,0,0,0,0,nan,nan
9,1759308398,nan,0,0,0,0,nan,nan
1,1759308404,nan,40.81,36.56,0.00,nan,nan,nan,nan
2,1759308404,nan,41.14,34.35,1.10,nan,nan,nan,nan
3,1759308404,nan,33.86,46.54,0.20,nan,nan,nan,nan
4,1759308404,nan,0,0,0,nan,nan,nan,nan
5,1759308404,nan,0,0,0,nan,nan,nan,nan
6,1759308404,nan,0,0,0,nan,nan,nan,nan
7,1759308404,nan,0,0,0,nan,nan,nan,nan
8,1759308404,nan,0,0,0,0,nan,nan
9,1759308404,nan,0,0,0,0,nan,nan
1,1759308409,nan,40.81,36.42,0.00,nan,nan,nan,nan
2,1759308409,nan,41.16,34.31,1.10,nan,nan,nan,nan
3,1759308409,nan,33.89,46.86,0.20,nan,nan,nan,nan
4,1759308409,nan,0,0,0,nan,nan,nan,nan
5,1759308409,nan,0,0,0,nan,nan,nan,nan
6,1759308409,nan,0,0,0,nan,nan,nan,nan
7,1759308409,nan,0,0,0,nan,nan,nan,nan
8,1759308409,nan,0,0,0,0,nan,nan
9,1759308409,nan,0,0,0,0,nan,nan
1,1759308414,nan,40.81,36.08,0.00,nan,nan,nan,nan
2,1759308414,nan,41.17,33.84,1.10,nan,nan,nan,nan
3,1759308414,nan,33.88,46.75,0.20,nan,nan,nan,nan
4,1759308414,nan,0,0,0,nan,nan,nan,nan
5,1759308414,nan,0,0,0,nan,nan,nan,nan
6,1759308414,nan,0,0,0,nan,nan,nan,nan
7,1759308414,nan,0,0,0,nan,nan,nan,nan
8,1759308414,nan,0,0,0,0,nan,nan
9,1759308414,nan,0,0,0,0,nan,nan
1,1759308420,nan,40.81,36.22,0.00,nan,nan,nan,nan
2,1759308420,nan,41.20,33.94,1.10,nan,nan,nan,nan
3,1759308420,nan,33.87,46.80,0.20,nan,nan,nan,nan
4,1759308420,nan,0,0,0,nan,nan,nan,nan
5,1759308420,nan,0,0,0,nan,nan,nan,nan
6,1759308420,nan,0,0,0,nan,nan,nan,nan
7,1759308420,nan,0,0,0,nan,nan,nan,nan
8,1759308420,nan,0,0,0,0,nan,nan
9,1759308420,nan,0,0,0,0,nan,nan
1,1759308425,nan,40.83,36.20,0.00,nan,nan,nan,nan
2,1759308425,nan,41.26,34.17,1.10,nan,nan,nan,nan
3,1759308425,nan,33.90,46.48,0.20,nan,nan,nan,nan
4,1759308425,nan,0,0,0,nan,nan,nan,nan
5,1759308425,nan,0,0,0,nan,nan,nan,nan
6,1759308425,nan,0,0,0,nan,nan,nan,nan
7,1759308425,nan,0,0,0,nan,nan,nan,nan
8,1759308425,nan,0,0,0,0,nan,nan
9,1759308425,nan,0,0,0,0,nan,nan
1,1759308430,nan,40.83,36.49,0.00,nan,nan,nan,nan
2,1759308430,nan,41.20,33.83,1.10,nan,nan,nan,nan
3,1759308430,nan,33.89,46.29,0.20,nan,nan,nan,nan
4,1759308430,nan,0,0,0,nan,nan,nan,nan
5,1759308430,nan,0,0,0,nan,nan,nan,nan
6,1759308430,nan,0,0,0,nan,nan,nan,nan
7,1759308430,nan,0,0,0,nan,nan,nan,nan
8,1759308430,nan,0,0,0,0,nan,nan
9,1759308430,nan,0,0,0,0,nan,nan
1,1759308436,nan,40.84,36.13,0.00,nan,nan,nan,nan
2,1759308436,nan,41.23,33.89,1.10,nan,nan,nan,nan
3,1759308436,nan,33.90,46.39,0.20,nan,nan,nan,nan
4,1759308436,nan,0,0,0,nan,nan,nan,nan
5,1759308436,nan,0,0,0,nan,nan,nan,nan
6,1759308436,nan,0,0,0,nan,nan,nan,nan
7,1759308436,nan,0,0,0,nan,nan,nan,nan
8,1759308436,nan,0,0,0,0,nan,nan
9,1759308436,nan,0,0,0,0,nan,nan
1,1759308441,nan,40.84,36.13,0.00,nan,nan,nan,nan
2,1759308441,nan,41.22,33.61,1.10,nan,nan,nan,nan
3,1759308441,nan,33.90,46.34,0.20,nan,nan,nan,nan
4,1759308441,nan,0,0,0,nan,nan,nan,nan
5,1759308441,nan,0,0,0,nan,nan,nan,nan
6,1759308441,nan,0,0,0,nan,nan,nan,nan
7,1759308441,nan,0,0,0,nan,nan,nan,nan
8,1759308441,nan,0,0,0,0,nan,nan
9,1759308441,nan,0,0,0,0,nan,nan
1,1759308446,nan,40.84,36.13,0.00,nan,nan,nan,nan
2,1759308446,nan,41.22,33.61,1.10,nan,nan,nan,nan
3,1759308446,nan,33.95,46.86,0.20,nan,nan,nan,nan
4,1759308446,nan,0,0,0,nan,nan,nan,nan
5,1759308446,nan,0,0,0,nan,nan,nan,nan
6,1759308446,nan,0,0,0,nan,nan,nan,nan
7,1759308446,nan,0,0,0,nan,nan,nan,nan
8,1759308446,nan,0,0,0,0,nan,nan
9,1759308446,nan,0,0,0,0,nan,nan
1,1759308451,nan,40.84,36.29,0.00,nan,nan,nan,nan
2,1759308451,nan,41.22,33.61,1.10,nan,nan,nan,nan
3,1759308451,nan,33.96,46.45,0.20,nan,nan,nan,nan
4,1759308451,nan,0,0,0,nan,nan,nan,nan
5,1759308451,nan,0,0,0,nan,nan,nan,nan
6,1759308451,nan,0,0,0,nan,nan,nan,nan
7,1759308451,nan,0,0,0,nan,nan,nan,nan
8,1759308451,nan,0,0,0,0,nan,nan
9,1759308451,nan,0,0,0,0,nan,nan
1,1759308457,nan,40.84,36.29,0.00,nan,nan,nan,nan
2,1759308457,nan,41.22,33.61,1.10,nan,nan,nan,nan
3,1759308457,nan,33.96,46.58,0.20,nan,nan,nan,nan
4,1759308457,nan,0,0,0,nan,nan,nan,nan
5,1759308457,nan,0,0,0,nan,nan,nan,nan
6,1759308457,nan,0,0,0,nan,nan,nan,nan
7,1759308457,nan,0,0,0,nan,nan,nan,nan
8,1759308457,nan,0,0,0,0,nan,nan
9,1759308457,nan,0,0,0,0,nan,nan
1,1759308462,nan,40.83,36.31,0.00,nan,nan,nan,nan
2,1759308462,nan,41.18,33.86,1.10,nan,nan,nan,nan
3,1759308462,nan,33.91,45.92,0.20,nan,nan,nan,nan
4,1759308462,nan,0,0,0,nan,nan,nan,nan
5,1759308462,nan,0,0,0,nan,nan,nan,nan
6,1759308462,nan,0,0,0,nan,nan,nan,nan
7,1759308462,nan,0,0,0,nan,nan,nan,nan
8,1759308462,nan,0,0,0,0,nan,nan
9,1759308462,nan,0,0,0,0,nan,nan
